Google Flu Trends - Canada
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Saskatchewan,Quebec
2004-07-11,663,717,763,1171,1423,1375,1033,740,1190,245
2004-07-18,699,727,811,1112,1242,1225,1111,835,1123,159
2004-07-25,528,858,470,861,1017,1217,932,570,1010,366
2004-08-01,631,832,498,849,844,1404,898,594,1046,351
2004-08-08,651,903,601,932,877,1328,735,628,959,525
2004-08-15,810,1196,704,1041,740,1161,715,941,884,505
2004-08-22,671,873,774,1059,684,1087,789,585,904,491
2004-08-29,755,1093,601,1053,633,1114,885,694,1344,635
2004-09-05,1014,1388,1319,766,561,1275,789,898,1259,781
2004-09-12,1042,1508,977,1035,621,1134,1081,1063,1340,633
2004-09-19,1407,1505,1524,1964,917,1071,1188,1317,1807,1149
2004-09-26,1656,1580,1922,1577,1624,1200,1410,1590,1736,1587
2004-10-03,1544,1246,1488,1362,2000,1144,1953,1550,1928,1528
2004-10-10,1675,1632,1768,1845,1707,1774,2172,1900,1503,1178
2004-10-17,1924,2186,2053,2515,1488,1696,2042,2044,1885,1596
2004-10-24,2014,2201,2332,2334,2158,1777,2494,1960,2272,1391
