3474.51,68,1926,26.09,0.55493,2040.42091,1915.43786,2165.40396,24.51093
3495.16,69,1925,20.65,0.43965,2054.78506,1928.92216,2180.64797,24.96316
3517.99,70,1924,22.83,0.48654,2069.7833,1943.0017,2196.5649,25.42865
3533.75,71,1923,15.76,0.3362,2088.92978,1960.97539,2216.88416,26.01318
3550.59,72,1922,16.84,0.35959,2100.97545,1972.28322,2229.66768,26.37546
3566.36,73,1921,15.77,0.33707,2108.28735,1979.14724,2237.42746,26.59335
3583.2,74,1920,16.84,0.36029,2113.87519,1984.39281,2243.35757,26.75885
3600.59,75,1919,17.39,0.37242,2117.28228,1987.5912,2246.97335,26.85934
3613.09,76,1918,12.5,0.26796,2123.41659,1993.34977,2253.48342,27.03944
3628.31,77,1917,15.22,0.32659,2120.55762,1990.66591,2250.44932,26.95563
3646.24,78,1916,17.93,0.38511,2116.77986,1987.11955,2246.44016,26.84454
3665.26,79,1915,19.02,0.40893,2112.58231,1983.17912,2241.9855,26.72064
3681.57,80,1914,16.31,0.35101,2109.27973,1980.07884,2238.48063,26.62281
3696.78,81,1913,15.21,0.32765,2103.30304,1974.46824,2232.13784,26.44499
3715.8,82,1912,19.02,0.41013,2096.94705,1968.50157,2225.39252,26.25477
3737,83,1911,21.2,0.45759,2093.7057,1965.45877,2221.95263,26.15731
3757.66,84,1910,20.66,0.44637,2094.43117,1966.1398,2222.72254,26.17915
3778.31,85,1909,20.65,0.44659,2095.59068,1967.22829,2223.95308,26.21402
3802.76,86,1908,24.45,0.5293,2093.67635,1965.43122,2221.92149,26.15643
3822.87,87,1907,20.11,0.43577,2089.08467,1961.1208,2217.04855,26.01786
3841.89,88,1906,19.02,0.41256,2094.25664,1965.97597,2222.53732,26.1739
3858.74,89,1905,16.85,0.36585,2098.99407,1970.42321,2227.56493,26.31615
3876.14,90,1904,17.4,0.37816,2097.92639,1969.42093,2226.43185,26.28415
3894.61,91,1903,18.47,0.40181,2094.59935,1966.29768,2222.90102,26.18421
3915.27,92,1902,20.66,0.4499,2095.71815,1967.34795,2224.08835,26.21785
3927.77,93,1901,12.5,0.27247,2074.65105,1947.57128,2201.73081,25.57828
3942.99,94,1900,15.22,0.33209,2060.01584,1933.83253,2186.19915,25.12627
3964.72,95,1899,21.73,0.47461,2048.21973,1922.75898,2173.68048,24.75725
3989.18,96,1898,24.46,0.53476,2034.39201,1909.77826,2159.00577,24.31922
4012.01,97,1897,22.83,0.49962,2020.70418,1896.92885,2144.4795,23.87971
4057.66,98,1896,45.65,1,1993.24339,1871.15013,2115.33664,22.97977
4094.66,99,1895,37,0.81132,1969.37171,1848.74068,2090.00274,22.17706
4126.16,100,1894,31.5,0.6914,1950.20502,1830.74802,2069.66203,21.51834
4160.96,101,1893,34.8,0.76459,1929.15634,1810.98864,2047.32403,20.77985
4196.86,102,1892,35.9,0.78954,1919.38367,1801.81459,2036.95276,20.43148
4253.36,103,1891,56.5,1.24383,1910.10715,1793.10629,2027.10802,20.09749
4297.86,104,1890,44.5,0.98063,1922.71756,1804.94426,2040.49086,20.55072
4339.26,105,1889,41.4,0.91322,1927.79685,1809.71243,2045.88128,20.7316
4390.26,106,1888,51,1.1261,1925.99813,1808.02388,2043.97237,20.66766
4428.36,107,1887,38.1,0.8421,1922.69354,1804.92172,2040.46537,20.54986
4464.26,108,1886,35.9,0.79426,1911.7515,1794.64991,2028.85309,20.15693
4491.36,109,1885,27.1,0.60016,1918.18944,1800.6935,2035.68537,20.38866
4520.76,110,1884,29.4,0.65175,1918.55246,1801.03429,2036.07063,20.40168
4554.46,111,1883,33.7,0.74782,1917.53022,1800.07467,2034.98578,20.36501
4593.56,112,1882,39.1,0.86851,1928.6927,1810.55341,2046.832,20.76341
4644.66,113,1881,51.1,1.13619,1920.71998,1803.06904,2038.37092,20.47932
4691.36,114,1880,46.7,1.03939,1928.19571,1810.08685,2046.30456,20.74577
4734.86,115,1879,43.5,0.96914,1919.3747,1801.80617,2036.94324,20.43116
4777.26,116,1878,42.4,0.94558,1915.32668,1798.0061,2032.64726,20.28581
4811.96,117,1877,34.7,0.77463,1912.03297,1794.91414,2029.1518,20.16709
4860.86,118,1876,48.9,1.09271,1918.66425,1801.13923,2036.18927,20.40569
4885.86,119,1875,25,0.55921,1933.01363,1814.60966,2051.4176,20.91639
4925.06,120,1874,39.2,0.87771,1947.62906,1828.32984,2066.92827,21.42882
4959.86,121,1873,34.8,0.77997,1951.3224,1831.79696,2070.84785,21.5571
4997.86,122,1872,38,0.85255,1958.9727,1838.97864,2078.96675,21.82127
5027.16,123,1871,29.3,0.65802,1976.6251,1855.54977,2097.70042,22.42302
5057.66,124,1870,30.5,0.68565,1991.95268,1869.93849,2113.96688,22.93686
5083.76,125,1869,26.1,0.58733,1992.5893,1870.53611,2114.64249,22.95803
5121.76,126,1868,38,0.85597,2002.41744,1879.76224,2125.07264,23.28317
5153.36,127,1867,31.6,0.71252,2005.55765,1882.71011,2128.4052,23.38638
5164.16,128,1866,10.8,0.24377,2013.72618,1890.37828,2137.07408,23.65336
5192.46,129,1865,28.3,0.6394,2010.86617,1887.69346,2134.03889,23.56013
