1000,950,-8.34,0.28
1001,949,-8.67,0.16
1002,948,-8.65,0.17
1003,947,-8.67,0.16
1004,946,-8.88,0.09
1005,945,-8.91,0.08
1006,944,-8.75,0.13
1007,943,-8.85,0.10
1008,942,-9.02,0.04
1009,941,-8.97,0.06
1010,940,-8.98,0.06
1011,939,-8.94,0.07
1012,938,-8.88,0.09
1013,937,-8.86,0.10
1014,936,-8.75,0.13
1015,935,-8.59,0.19
1016,934,-8.58,0.19
1017,933,-8.61,0.18
1018,932,-8.76,0.13
1019,931,-8.53,0.21
1020,930,-8.54,0.21
1021,929,-8.47,0.23
1022,928,-8.53,0.21
1023,927,-8.54,0.21
1024,926,-8.65,0.17
1025,925,-8.69,0.16
1026,924,-8.75,0.13
1027,923,-8.91,0.08
1028,922,-9.03,0.04
1029,921,-9.11,0.01
1030,920,-9.26,-0.04
1031,919,-9.35,-0.07
1032,918,-9.23,-0.03
1033,917,-9.08,0.02
1034,916,-9.26,-0.04
1035,915,-9.18,-0.01
1036,914,-9.20,-0.02
1037,913,-9.04,0.03
1038,912,-8.88,0.09
1039,911,-8.79,0.12
1040,910,-8.63,0.18
1041,909,-8.47,0.23
1042,908,-8.44,0.24
1043,907,-8.44,0.24
1044,906,-8.37,0.27
1045,905,-8.47,0.23
1046,904,-8.55,0.20
1047,903,-8.60,0.19
1048,902,-8.72,0.15
1049,901,-8.70,0.15
1050,900,-8.73,0.14
1051,899,-8.77,0.13
1052,898,-8.78,0.12
1053,897,-8.76,0.13
1054,896,-8.77,0.13
1055,895,-8.96,0.06
1056,894,-9.21,-0.02
1057,893,-9.19,-0.02
1058,892,-9.07,0.02
1059,891,-9.07,0.02
1060,890,-9.04,0.03
1061,889,-8.89,0.09
1062,888,-8.88,0.09
1063,887,-8.95,0.07
1064,886,-8.90,0.08
1065,885,-8.88,0.09
1066,884,-8.87,0.09
1067,883,-8.92,0.08
1068,882,-9.06,0.03
1069,881,-9.11,0.01
1070,880,-9.02,0.04
1071,879,-8.90,0.08
1072,878,-8.81,0.11
1073,877,-8.90,0.08
1074,876,-8.92,0.08
1075,875,-8.97,0.06
1076,874,-8.95,0.07
1077,873,-9.04,0.03
1078,872,-8.95,0.07
1079,871,-9.08,0.02
1080,870,-9.11,0.01
1081,869,-9.28,-0.05
1082,868,-9.26,-0.04
1083,867,-9.25,-0.04
1084,866,-9.17,-0.01
1085,865,-9.10,0.01
1086,864,-9.15,0.00
1087,863,-9.12,0.01
1088,862,-9.16,-0.01
1089,861,-9.06,0.03
